url,source,confirmation_method,is_reachable,http_status,reachability_error,label,rank,url_length,subdomain_count,has_https,special_char_count,keyword_score,character_entropy,tld_risk_score,has_ip_host,has_at_symbol,path_depth,query_param_count,digit_ratio,is_punycode_or_homograph,tranco_rank_bucket,brand_distance_score,brand_keyword_in_host,domain_age_days
http://libaclub.com,tranco,,,,,0,393518.0,19,1,0,0,0,3.7216117239699003,0.0,0,0,0,0,0.0,0,2,5,0,6672.0
http://codigosur.com,tranco,,,,,0,158908.0,20,1,0,0,0,3.7841837197791888,0.0,0,0,0,0,0.0,0,2,6,0,7671.0
http://banburyguardian.co.uk,tranco,,,,,0,308849.0,28,2,0,0,0,4.039148671903071,0.5,0,0,0,0,0.0,0,2,5,0,10732.0
http://cekipsaya.com,tranco,,,,,0,252743.0,20,1,0,0,0,3.821928094887362,0.0,0,0,0,0,0.0,0,2,6,0,4509.0
http://musee-verre-vitrail.fr,tranco,,,,,0,912178.0,29,1,0,2,0,3.8664331502253844,0.5,0,0,0,0,0.0,0,1,16,0,140.0
http://rockstarxh.world,tranco,,,,,0,820177.0,23,1,0,0,0,3.849223912390625,0.5,0,0,0,0,0.0,0,1,11,0,
http://nadadventist.org,tranco,,,,,0,446721.0,23,1,0,0,0,3.82790978214397,0.0,0,0,0,0,0.0,0,2,9,0,10255.0
http://rehs.com,tranco,,,,,0,648623.0,15,1,0,0,0,3.506890595608518,0.0,0,0,0,0,0.0,0,1,3,0,10031.0
http://planetarium-bochum.de,tranco,,,,,0,556884.0,28,1,0,1,0,4.137537511266052,0.5,0,0,0,0,0.0,0,1,15,0,
http://straighttohellapparel.com,tranco,,,,,0,962273.0,32,1,0,0,0,3.792837797403416,0.0,0,0,0,0,0.0,0,1,14,0,6252.0
http://vit.org,tranco,,,,,0,855586.0,14,1,0,0,0,3.3248629576173574,0.0,0,0,0,0,0.0,0,1,5,0,11555.0
